temperature_salon,humidity_salon,weather,weather1,temperature,humidity
26.721875,62.58125,3,cloudy,26,62
26.746875,61.7,1,sunny,26,61
26.821875,60.70625,1,sunny,26,60
26.890625,59.73125,1,sunny,26,59
26.965625,58.7125,1,sunny,26,58
27.046875,57.6875,2,rainy,27,57
27.128125,56.6375,1,sunny,27,56
27.2,55.6125,3,cloudy,27,55
27.25625,54.95625,3,cloudy,27,54
27.29375,54.275,2,rainy,27,54
27.325,53.73125,1,sunny,27,53
27.34375,53.3125,1,sunny,27,53
27.375,52.26875,3,cloudy,27,52
27.45,51.825,3,cloudy,27,51
27.5125,51.54375,2,rainy,27,51
27.575,51.46875,1,sunny,27,51
27.5875,51.60625,1,sunny,27,51
27.65,51.89375,2,rainy,27,51
27.68125,52.36875,2,rainy,27,52
27.70625,52.85625,2,rainy,27,52
27.73125,53.39375,2,rainy,27,53
27.75,54.00625,2,rainy,27,54
27.7375,54.18125,3,cloudy,27,54
27.75,54.76875,3,cloudy,27,54
27.78125,55.0625,1,sunny,27,55
27.8,54.69375,2,rainy,27,54
27.81875,54.20625,3,cloudy,27,54
27.85,53.75625,3,cloudy,27,53
27.875,54.075,3,cloudy,27,54
27.86875,54.35625,2,rainy,27,54
27.8625,54.60625,2,rainy,27,54
27.84375,54.7625,1,sunny,27,54
27.86875,54.63125,3,cloudy,27,54
27.88125,54.54375,1,sunny,27,54
27.875,54.41875,2,rainy,27,54
27.875,54.38125,1,sunny,27,54
27.875,54.38125,2,rainy,27,54
27.85625,54.44375,1,sunny,27,54
27.825,54.65625,2,rainy,27,54
27.8,54.625,3,cloudy,27,54
27.76875,54.575,2,rainy,27,54
27.7625,54.91875,2,rainy,27,54
27.7625,55.39375,1,sunny,27,55
27.75,55.8125,3,cloudy,27,55
27.7375,56.11875,2,rainy,27,56
27.75625,56.525,2,rainy,27,56
27.7875,56.96875,3,cloudy,27,56
27.825,57.43125,1,sunny,27,57
27.8625,57.9375,3,cloudy,27,57
27.86875,58.3,3,cloudy,27,58
27.88125,58.59375,1,sunny,27,58
27.8875,58.76875,3,cloudy,27,58
27.8875,58.93125,2,rainy,27,58
27.9,59,3,cloudy,27,59
27.95,59.3875,3,cloudy,27,59
27.9625,59.625,2,rainy,27,59
27.975,59.84375,2,rainy,27,59
27.98125,60.0125,3,cloudy,27,60
27.98125,60.125,2,rainy,27,60
27.98125,60.25,2,rainy,27,60
27.98125,60.3875,2,rainy,27,60
27.98125,60.53125,2,rainy,27,60
27.98125,60.675,3,cloudy,27,60
27.98125,60.7875,3,cloudy,27,60
27.9875,60.875,3,cloudy,27,60
27.99375,60.93125,1,sunny,27,60
27.9875,61,2,rainy,27,61
27.98125,61.04375,3,cloudy,27,61
27.975,61.05,3,cloudy,27,61
27.975,61.01875,2,rainy,27,61
27.96875,60.9625,3,cloudy,27,60
27.96875,60.85625,1,sunny,27,60
27.9625,60.725,3,cloudy,27,60
27.95625,60.5875,3,cloudy,27,60
27.95,60.4375,1,sunny,27,60
27.91875,60.13125,1,sunny,27,60
27.9,59.69375,3,cloudy,27,59
27.88125,59.21875,2,rainy,27,59
27.85625,58.775,3,cloudy,27,58
27.825,58.48125,3,cloudy,27,58
27.8,58.06875,1,sunny,27,58
27.778125,57.64375,1,sunny,27,57
27.765625,57.175,1,sunny,27,57
27.759375,56.8,2,rainy,27,56
27.771875,56.4,3,cloudy,27,56
27.784375,56.01875,1,sunny,27,56
27.815625,55.625,2,rainy,27,55
27.859375,55.25625,1,sunny,27,55
27.896875,55.13125,1,sunny,27,55
27.921875,54.975,1,sunny,27,54
27.953125,54.91875,1,sunny,27,54
28.015625,55,2,rainy,28,55
28.065625,55.21875,3,cloudy,28,55
28.115625,55.5,3,cloudy,28,55
28.178125,55.75,1,sunny,28,55
28.246875,55.86875,2,rainy,28,55
28.303125,56.0625,1,sunny,28,56
28.3625,55.9875,1,sunny,28,55
28.39375,55.76875,3,cloudy,28,55
28.40625,55.525,2,rainy,28,55
28.39375,55.31875,1,sunny,28,55
28.375,55.1125,3,cloudy,28,55
28.34375,54.91875,2,rainy,28,54
28.3,54.7125,2,rainy,28,54
28.25625,54.23125,3,cloudy,28,54
28.25625,53.84375,3,cloudy,28,53
28.26875,53.5125,1,sunny,28,53
28.25,52.95625,1,sunny,28,52
28.225,52.46875,3,cloudy,28,52
28.19375,52.075,1,sunny,28,52
28.1625,51.65625,1,sunny,28,51
28.125,51.2,1,sunny,28,51
28.09375,50.775,1,sunny,28,50
28.06875,50.74375,3,cloudy,28,50
28.1,51,1,sunny,28,51
28.1125,51.1125,3,cloudy,28,51
28.11875,51.2625,2,rainy,28,51
28.11875,51.6375,2,rainy,28,51
28.13125,51.8625,2,rainy,28,51
28.125,52.075,3,cloudy,28,52
28.11875,52.3,1,sunny,28,52
28.0875,52.78125,2,rainy,28,52
28.0875,53.2375,1,sunny,28,53
28.11875,53.9875,1,sunny,28,53
28.15,54.74375,3,cloudy,28,54
28.2,55.375,1,sunny,28,55
28.2375,56.1,1,sunny,28,56
28.28125,56.89375,3,cloudy,28,56
28.325,57.7,2,rainy,28,57
28.35,58.45,3,cloudy,28,58
28.34375,59.09375,3,cloudy,28,59
28.3625,59.86875,2,rainy,28,59
28.3875,60.6125,1,sunny,28,60
28.41875,61.11875,2,rainy,28,61
28.425,61.7,1,sunny,28,61
28.45,62.26875,2,rainy,28,62
28.45625,62.89375,1,sunny,28,62
28.4625,63.21875,3,cloudy,28,63
28.4125,63.4375,1,sunny,28,63
28.3625,63.575,1,sunny,28,63
28.31875,63.6375,2,rainy,28,63
28.25625,63.7625,1,sunny,28,63
28.19375,63.825,1,sunny,28,63
28.125,63.825,3,cloudy,28,63
28.05,63.85,3,cloudy,28,63
27.98125,63.86875,3,cloudy,27,63
27.9125,63.9125,1,sunny,27,63
27.85,63.91875,3,cloudy,27,63
27.79375,63.93125,2,rainy,27,63
27.725,64.0125,2,rainy,27,64
27.671875,64.16875,2,rainy,27,64
27.621875,64.35,3,cloudy,27,64
27.584375,64.56875,3,cloudy,27,64
27.540625,64.78125,2,rainy,27,64
27.496875,64.9875,2,rainy,27,64
27.446875,65.225,2,rainy,27,65
27.390625,65.475,3,cloudy,27,65
27.340625,65.65,1,sunny,27,65
27.296875,65.8125,3,cloudy,27,65
27.259375,65.975,2,rainy,27,65
27.228125,66.14375,2,rainy,27,66
27.190625,66.3125,2,rainy,27,66
27.153125,66.475,2,rainy,27,66
27.109375,66.63125,3,cloudy,27,66
27.071875,66.74375,2,rainy,27,66
27.040625,66.8125,3,cloudy,27,66
27.00625,66.8875,1,sunny,27,66
26.975,66.94375,2,rainy,26,66
26.9625,66.91875,2,rainy,26,66
26.95,66.90625,1,sunny,26,66
26.9625,66.8625,1,sunny,26,66
26.98125,66.775,1,sunny,26,66
27.01875,66.675,1,sunny,27,66
27.05625,66.5625,1,sunny,27,66
27.10625,66.425,3,cloudy,27,66
27.15625,66.25625,3,cloudy,27,66
27.2125,66.03125,2,rainy,27,66
27.28125,65.775,2,rainy,27,65
27.35,65.5375,2,rainy,27,65
27.4375,65.3125,2,rainy,27,65
27.51875,65.0875,3,cloudy,27,65
27.6125,64.81875,2,rainy,27,64
27.70625,64.5875,3,cloudy,27,64
27.8,64.35625,2,rainy,27,64
27.8875,64.13125,3,cloudy,27,64
27.98125,63.88125,1,sunny,27,63
28.0625,63.63125,3,cloudy,28,63
28.1375,63.4,1,sunny,28,63
28.20625,63.1625,1,sunny,28,63
28.275,62.95625,1,sunny,28,62
28.3375,62.775,2,rainy,28,62
28.40625,62.625,3,cloudy,28,62
28.46875,62.50625,2,rainy,28,62
28.53125,62.375,2,rainy,28,62
28.5875,62.18125,2,rainy,28,62
28.6375,61.95625,3,cloudy,28,61
28.6875,61.7375,2,rainy,28,61
28.7375,61.5375,2,rainy,28,61
28.7875,61.23125,3,cloudy,28,61
28.83125,60.9125,2,rainy,28,60
28.8875,60.6375,3,cloudy,28,60
28.93125,60.4,3,cloudy,28,60
28.975,60.14375,3,cloudy,28,60
29.025,59.875,3,cloudy,29,59
29.06875,59.59375,2,rainy,29,59
29.1125,59.29375,3,cloudy,29,59
29.15625,58.88125,3,cloudy,29,58
29.1875,58.5125,1,sunny,29,58
29.21875,58.14375,2,rainy,29,58
29.25625,57.7625,3,cloudy,29,57
29.29375,57.38125,3,cloudy,29,57
29.325,57.0125,2,rainy,29,57
29.3375,56.65,1,sunny,29,56
29.325,56.1125,3,cloudy,29,56
29.3125,55.60625,2,rainy,29,55
29.29375,55.13125,1,sunny,29,55
29.26875,54.625,2,rainy,29,54
29.25625,54.125,1,sunny,29,54
29.2375,53.7,1,sunny,29,53
29.24375,53.46875,3,cloudy,29,53
29.25,53.3,2,rainy,29,53
29.2625,53.175,3,cloudy,29,53
29.26875,53.20625,3,cloudy,29,53
29.2875,53.20625,3,cloudy,29,53
29.3,53.21875,3,cloudy,29,53
29.30625,53.33125,3,cloudy,29,53
29.3125,53.5125,2,rainy,29,53
29.30625,53.78125,1,sunny,29,53
29.31875,54.10625,3,cloudy,29,54
29.34375,54.625,3,cloudy,29,54
29.3625,55.18125,3,cloudy,29,55
29.38125,55.85,2,rainy,29,55
29.3875,56.475,2,rainy,29,56
29.38125,57.1,1,sunny,29,57
29.36875,57.69375,3,cloudy,29,57
29.325,58.13125,3,cloudy,29,58
29.275,58.5125,3,cloudy,29,58
29.2125,58.875,2,rainy,29,58
29.14375,59.19375,2,rainy,29,59
29.075,59.5125,1,sunny,29,59
29,59.8125,1,sunny,29,59
28.9125,60.05,3,cloudy,28,60
28.825,60.2375,2,rainy,28,60
28.75625,60.3625,3,cloudy,28,60
28.675,60.4375,1,sunny,28,60
28.59375,60.51875,2,rainy,28,60
28.525,60.58125,1,sunny,28,60
28.45625,60.5625,3,cloudy,28,60
28.38125,60.6125,2,rainy,28,60
28.3125,60.64375,3,cloudy,28,60
28.24375,60.68125,3,cloudy,28,60
28.16875,60.71875,3,cloudy,28,60
28.0875,60.8,2,rainy,28,60
28.0125,60.86875,2,rainy,28,60
27.93125,60.9875,2,rainy,27,60
27.84375,61.125,2,rainy,27,61
27.7625,61.29375,3,cloudy,27,61
27.68125,61.48125,1,sunny,27,61
27.60625,61.68125,1,sunny,27,61
27.5375,61.84375,3,cloudy,27,61
27.48125,62.0125,3,cloudy,27,62
27.45,62.10625,2,rainy,27,62
27.4125,62.2375,1,sunny,27,62
27.36875,62.36875,3,cloudy,27,62
27.3375,62.4875,3,cloudy,27,62
27.35,62.50625,2,rainy,27,62
27.375,62.4875,1,sunny,27,62
27.425,62.41875,3,cloudy,27,62
27.5,62.2875,2,rainy,27,62
27.5875,62.11875,1,sunny,27,62
27.69375,61.90625,3,cloudy,27,61
27.8125,61.675,3,cloudy,27,61
27.9375,61.43125,2,rainy,27,61
28.08125,61.14375,3,cloudy,28,61
28.225,60.84375,2,rainy,28,60
28.3625,60.6125,2,rainy,28,60
28.50625,60.40625,2,rainy,28,60
28.625,60.29375,1,sunny,28,60
28.75,60.16875,1,sunny,28,60
28.8875,60.025,2,rainy,28,60
29.025,59.84375,1,sunny,29,59
29.11875,59.75,3,cloudy,29,59
29.2125,59.6625,2,rainy,29,59
29.2875,59.6125,3,cloudy,29,59
29.35625,59.55625,1,sunny,29,59
29.40625,59.53125,3,cloudy,29,59
29.45625,59.49375,3,cloudy,29,59
29.5,59.4375,1,sunny,29,59
29.54375,59.35625,3,cloudy,29,59
29.575,59.29375,2,rainy,29,59
29.6125,59.2,1,sunny,29,59
29.64375,59.06875,3,cloudy,29,59
29.66875,58.8875,2,rainy,29,58
29.7,58.63125,3,cloudy,29,58
29.725,58.3875,1,sunny,29,58
29.75,58.14375,2,rainy,29,58
29.78125,57.8875,1,sunny,29,57
29.8125,57.59375,2,rainy,29,57
29.8375,57.29375,1,sunny,29,57
29.8625,56.975,3,cloudy,29,56
29.88125,56.675,3,cloudy,29,56
29.88125,55.9625,2,rainy,29,55
29.86875,55.2125,1,sunny,29,55
29.83125,54.65,2,rainy,29,54
29.79375,54.125,3,cloudy,29,54
29.75,53.86875,1,sunny,29,53
29.7,53.4875,2,rainy,29,53
29.64375,53.125,3,cloudy,29,53
29.575,52.78125,3,cloudy,29,52
29.525,52.50625,3,cloudy,29,52
29.48125,52.1375,1,sunny,29,52
29.425,51.74375,2,rainy,29,51
29.3625,51.3875,3,cloudy,29,51
29.3,51.08125,2,rainy,29,51
29.2375,50.7875,2,rainy,29,50
29.16875,50.5125,1,sunny,29,50
29.09375,50.24375,1,sunny,29,50
29.04375,50.375,2,rainy,29,50
29,50.59375,1,sunny,29,50
29.00625,50.89375,3,cloudy,29,50
29.03125,51.2375,3,cloudy,29,51
29.06875,51.25,3,cloudy,29,51
29.09375,51.4,2,rainy,29,51
29.13125,51.525,2,rainy,29,51
29.18125,51.68125,3,cloudy,29,51
29.21875,51.79375,2,rainy,29,51
29.24375,52.025,1,sunny,29,52
29.28125,52.29375,1,sunny,29,52
29.3125,52.56875,3,cloudy,29,52
29.3375,52.8625,3,cloudy,29,52
29.35625,53.19375,2,rainy,29,53
29.3875,53.50625,2,rainy,29,53
29.4125,53.8625,2,rainy,29,53
29.425,54.2625,1,sunny,29,54
29.425,54.625,2,rainy,29,54
29.3875,54.78125,1,sunny,29,54
29.325,54.85,2,rainy,29,54
29.25625,54.9625,3,cloudy,29,54
29.1875,55.11875,2,rainy,29,55
29.1,55.2375,1,sunny,29,55
29.01875,55.35,3,cloudy,29,55
28.93125,55.4625,2,rainy,28,55
28.85625,55.49375,3,cloudy,28,55
28.76875,55.54375,3,cloudy,28,55
28.69375,55.54375,1,sunny,28,55
28.625,55.65625,1,sunny,28,55
28.56875,55.6,2,rainy,28,55
28.4875,55.60625,3,cloudy,28,55
28.425,55.6125,1,sunny,28,55
28.375,55.5625,2,rainy,28,55
28.3375,55.525,1,sunny,28,55
28.3,55.45625,3,cloudy,28,55
28.26875,55.43125,2,rainy,28,55
28.225,55.4875,1,sunny,28,55
28.2,55.51875,2,rainy,28,55
28.1875,55.5875,2,rainy,28,55
28.15625,55.6875,3,cloudy,28,55
28.125,55.8125,2,rainy,28,55
28.08125,55.94375,1,sunny,28,55
28.04375,56.025,2,rainy,28,56
28.025,56.0625,2,rainy,28,56
28.025,55.9125,1,sunny,28,55
28.03125,55.85,2,rainy,28,55
28.06875,55.8125,2,rainy,28,55
28.10625,55.69375,2,rainy,28,55
28.14375,55.60625,1,sunny,28,55
28.1875,55.49375,2,rainy,28,55
28.240625,55.39375,1,sunny,28,55
28.2984375,55.275,1,sunny,28,55
28.3734375,55.09375,3,cloudy,28,55
28.4484375,54.9125,1,sunny,28,54
28.5234375,54.73125,3,cloudy,28,54
28.6109375,54.475,3,cloudy,28,54
28.6984375,54.19375,2,rainy,28,54
28.7984375,53.95625,2,rainy,28,53
28.9046875,53.73125,1,sunny,28,53
28.9921875,53.5375,3,cloudy,28,53
29.0671875,53.39375,3,cloudy,29,53
29.1296875,53.28125,1,sunny,29,53
29.1859375,53.09375,3,cloudy,29,53
29.2296875,52.93125,2,rainy,29,52
29.2796875,52.775,3,cloudy,29,52
29.3234375,52.63125,2,rainy,29,52
29.3703125,52.475,1,sunny,29,52
29.4125,52.3125,3,cloudy,29,52
29.45,52.175,3,cloudy,29,52
29.4875,52.03125,1,sunny,29,52
29.525,51.89375,2,rainy,29,51
29.5625,51.78125,3,cloudy,29,51
29.6,51.68125,3,cloudy,29,51
29.6375,51.56875,1,sunny,29,51
29.675,51.475,3,cloudy,29,51
29.709375,51.43125,3,cloudy,29,51
29.740625,51.3875,2,rainy,29,51
29.775,51.359375,3,cloudy,29,51
29.80625,51.334375,2,rainy,29,51
29.84375,51.346875,3,cloudy,29,51
29.88125,51.315625,3,cloudy,29,51
29.91875,51.315625,1,sunny,29,51
29.95,51.309375,3,cloudy,29,51
29.975,51.234375,1,sunny,29,51
29.9875,50.940625,3,cloudy,29,50
29.975,50.646875,3,cloudy,29,50
29.95625,50.328125,3,cloudy,29,50
29.93125,49.990625,1,sunny,29,49
29.9125,49.665625,2,rainy,29,49
29.8875,49.384375,1,sunny,29,49
29.85625,49.021875,1,sunny,29,49
29.809375,48.721875,2,rainy,29,48
29.765625,48.390625,1,sunny,29,48
29.7125,48.1875,2,rainy,29,48
29.69375,48.0125,1,sunny,29,48
29.68125,47.7625,3,cloudy,29,47
29.6625,47.55,1,sunny,29,47
29.64375,47.34375,3,cloudy,29,47
29.625,47.11875,2,rainy,29,47
29.60625,47.00625,3,cloudy,29,47
29.5875,47.075,1,sunny,29,47
29.58125,47.2,1,sunny,29,47
29.575,47.29375,1,sunny,29,47
29.575,47.4625,1,sunny,29,47
29.575,47.55,1,sunny,29,47
29.56875,47.675,1,sunny,29,47
29.55625,47.84375,1,sunny,29,47
29.55,47.9625,3,cloudy,29,47
29.525,48.10625,3,cloudy,29,48
29.5125,48.15,1,sunny,29,48
29.45625,48.175,1,sunny,29,48
29.38125,48.28125,3,cloudy,29,48
29.29375,48.4625,2,rainy,29,48
29.2,48.625,1,sunny,29,48
29.09375,48.83125,3,cloudy,29,48
28.99375,49.025,3,cloudy,28,49
28.9,49.275,1,sunny,28,49
28.8125,49.4875,1,sunny,28,49
28.73125,49.75,2,rainy,28,49
28.6375,49.975,3,cloudy,28,49
28.525,50.29375,3,cloudy,28,50
28.425,50.53125,1,sunny,28,50
28.325,50.83125,2,rainy,28,50
28.21875,51.125,3,cloudy,28,51
28.125,51.43125,3,cloudy,28,51
28.01875,51.725,2,rainy,28,51
27.91875,52,3,cloudy,27,52
27.83125,52.24375,1,sunny,27,52
27.74375,52.41875,2,rainy,27,52
27.65625,52.59375,2,rainy,27,52
27.5875,52.74375,1,sunny,27,52
27.50625,52.9,3,cloudy,27,52
27.43125,53.00625,2,rainy,27,53
27.34375,53.125,1,sunny,27,53
27.2625,53.28125,1,sunny,27,53
27.20625,53.375,3,cloudy,27,53
27.14375,53.44375,3,cloudy,27,53
27.06875,53.5625,3,cloudy,27,53
27.025,53.59375,2,rainy,27,53
26.98125,53.6,1,sunny,26,53
26.94375,53.6125,2,rainy,26,53
26.90625,53.6,1,sunny,26,53
26.89375,53.56875,2,rainy,26,53
26.88125,53.5375,3,cloudy,26,53
26.9,53.48125,2,rainy,26,53
26.93125,53.4,1,sunny,26,53
26.98125,53.28125,1,sunny,26,53
27.05,53.10625,1,sunny,27,53
27.13125,52.90625,3,cloudy,27,52
27.24375,52.675,2,rainy,27,52
27.3625,52.39375,2,rainy,27,52
27.475,52.15625,2,rainy,27,52
27.60625,51.9375,3,cloudy,27,51
27.74375,51.675,3,cloudy,27,51
27.875,51.4875,1,sunny,27,51
28.01875,51.3125,3,cloudy,28,51
28.1625,51.15625,2,rainy,28,51
28.3125,51,3,cloudy,28,51
28.44375,50.86875,2,rainy,28,50
28.58125,50.75625,1,sunny,28,50
28.7,50.6375,2,rainy,28,50
28.81875,50.49375,3,cloudy,28,50
28.9125,50.3125,3,cloudy,28,50
29,50.19375,3,cloudy,29,50
29.0875,50.1125,2,rainy,29,50
29.15625,50.03125,1,sunny,29,50
29.2125,49.9875,3,cloudy,29,49
29.2625,49.9375,2,rainy,29,49
29.3125,49.8625,2,rainy,29,49
29.36875,49.73125,3,cloudy,29,49
29.4125,49.5375,3,cloudy,29,49
29.4625,49.35,2,rainy,29,49
29.50625,49.15,3,cloudy,29,49
29.55,48.94375,1,sunny,29,48
29.59375,48.73125,3,cloudy,29,48
29.63125,48.5375,1,sunny,29,48
29.675,48.3875,1,sunny,29,48
29.70625,48.2625,3,cloudy,29,48
29.7375,48.06875,2,rainy,29,48
29.75625,47.7625,2,rainy,29,47
29.74375,47.45625,3,cloudy,29,47
29.725,47.125,2,rainy,29,47
29.6875,46.86875,2,rainy,29,46
29.64375,46.65,3,cloudy,29,46
29.5875,46.44375,1,sunny,29,46
29.51875,46.2875,3,cloudy,29,46
29.5,46.25625,3,cloudy,29,46
29.48125,46.21875,2,rainy,29,46
29.4625,46.1625,1,sunny,29,46
29.44375,46.14375,2,rainy,29,46
29.4,46.1,2,rainy,29,46
29.35,45.975,1,sunny,29,45
29.2875,45.85,3,cloudy,29,45
29.25,45.84375,1,sunny,29,45
29.2,46.11875,3,cloudy,29,46
29.16875,46.4875,3,cloudy,29,46
29.14375,46.8375,1,sunny,29,46
29.1125,47.2375,1,sunny,29,47
29.1,47.575,1,sunny,29,47
29.08125,47.975,2,rainy,29,47
29.06875,48.39375,1,sunny,29,48
29.09375,48.75,3,cloudy,29,48
29.06875,49.025,1,sunny,29,49
29.04375,49.3125,2,rainy,29,49
29.01875,49.58125,2,rainy,29,49
28.9875,49.8125,3,cloudy,28,49
28.96875,50.1125,2,rainy,28,50
28.95625,50.48125,3,cloudy,28,50
28.95,50.83125,1,sunny,28,50
28.925,51.08125,1,sunny,28,51
28.90625,51.2,1,sunny,28,51
28.88125,51.3375,1,sunny,28,51
28.86875,51.50625,1,sunny,28,51
28.875,51.65,3,cloudy,28,51
28.86875,51.80625,2,rainy,28,51
28.88125,51.85625,2,rainy,28,51
28.8875,51.89375,3,cloudy,28,51
28.85625,51.984375,3,cloudy,28,51
28.81875,52.053125,2,rainy,28,52
28.775,52.103125,2,rainy,28,52
28.70625,52.203125,1,sunny,28,52
28.625,52.346875,3,cloudy,28,52
28.55625,52.459375,3,cloudy,28,52
28.49375,52.546875,3,cloudy,28,52
28.425,52.678125,1,sunny,28,52
28.325,52.984375,2,rainy,28,52
28.2375,53.296875,3,cloudy,28,53
28.15625,53.546875,1,sunny,28,53
28.09375,53.646875,1,sunny,28,53
28.0125,53.765625,1,sunny,28,53
27.94375,53.840625,1,sunny,27,53
27.8625,53.909375,3,cloudy,27,53
27.8125,53.928125,2,rainy,27,53
27.7625,53.9375,3,cloudy,27,53
27.7125,53.95,1,sunny,27,53
27.65625,53.95625,2,rainy,27,53
27.60625,53.9125,3,cloudy,27,53
27.575,53.81875,1,sunny,27,53
27.5375,53.73125,1,sunny,27,53
27.50625,53.65,2,rainy,27,53
27.475,53.54375,3,cloudy,27,53
27.5,53.2375,3,cloudy,27,53
27.5125,52.94375,3,cloudy,27,52
27.525,52.7125,3,cloudy,27,52
27.51875,52.59375,1,sunny,27,52
27.54375,52.4625,1,sunny,27,52
27.56875,52.31875,3,cloudy,27,52
27.60625,52.19375,1,sunny,27,52
27.6375,52.1,1,sunny,27,52
27.675,52.01875,1,sunny,27,52
27.725,51.9375,1,sunny,27,51
27.7875,51.8625,3,cloudy,27,51
27.875,51.78125,2,rainy,27,51
27.96875,51.725,1,sunny,27,51
28.06875,51.6625,3,cloudy,28,51
28.1625,51.6,2,rainy,28,51
28.26875,51.525,3,cloudy,28,51
28.3625,51.475,2,rainy,28,51
28.4625,51.44375,3,cloudy,28,51
28.5625,51.36875,3,cloudy,28,51
28.6625,51.25,2,rainy,28,51
28.74375,51.1125,3,cloudy,28,51
28.8375,51,1,sunny,28,51
28.93125,50.94375,3,cloudy,28,50
29.0125,50.9375,3,cloudy,29,50
29.1,50.93125,3,cloudy,29,50
29.18125,50.925,3,cloudy,29,50
29.25625,50.91875,2,rainy,29,50
29.325,50.99375,1,sunny,29,50
29.39375,51.05,3,cloudy,29,51
29.44375,51.175,2,rainy,29,51
29.4875,51.29375,3,cloudy,29,51
29.53125,51.33125,1,sunny,29,51
29.5625,51.3625,3,cloudy,29,51
29.59375,51.40625,1,sunny,29,51
29.6125,51.4875,1,sunny,29,51
29.63125,51.59375,2,rainy,29,51
29.6375,51.70625,1,sunny,29,51
29.63125,51.84375,1,sunny,29,51
29.60625,52.2625,2,rainy,29,52
29.525,52.7125,1,sunny,29,52
29.38125,53.19375,1,sunny,29,53
29.2625,53.73125,3,cloudy,29,53
29.19375,54.5125,1,sunny,29,54
29.13125,55.15625,2,rainy,29,55
28.9875,56.14375,3,cloudy,28,56
28.81875,57.2125,2,rainy,28,57
28.66875,58.20625,3,cloudy,28,58
28.51875,59.23125,2,rainy,28,59
28.4,60.03125,2,rainy,28,60
28.26875,60.8375,1,sunny,28,60
28.11875,61.675,1,sunny,28,61
27.975,62.5,1,sunny,27,62
27.85,63.34375,2,rainy,27,63
27.74375,64.1125,2,rainy,27,64
27.64375,64.56875,3,cloudy,27,64
27.59375,64.9875,1,sunny,27,64
27.60625,65.375,2,rainy,27,65
27.56875,65.725,2,rainy,27,65
27.49375,65.80625,3,cloudy,27,65
27.39375,66,1,sunny,27,66
27.375,65.83125,2,rainy,27,65
27.38125,65.5,2,rainy,27,65
27.3625,65.23125,2,rainy,27,65
27.34375,64.99375,2,rainy,27,64
27.3,64.98125,2,rainy,27,64
27.26875,64.9125,1,sunny,27,64
27.25625,64.775,3,cloudy,27,64
27.23125,64.7125,2,rainy,27,64
27.1875,64.65625,3,cloudy,27,64
27.13125,64.60625,2,rainy,27,64
27.0875,64.53125,1,sunny,27,64
27.01875,64.53125,3,cloudy,27,64
26.95,64.53125,3,cloudy,26,64
26.90625,64.5125,2,rainy,26,64
26.85,64.49375,2,rainy,26,64
26.81875,64.4,2,rainy,26,64
26.7625,64.39375,2,rainy,26,64
26.7125,64.4125,3,cloudy,26,64
26.66875,64.41875,3,cloudy,26,64
26.61875,64.45625,3,cloudy,26,64
26.55625,64.50625,3,cloudy,26,64
26.4875,64.55,1,sunny,26,64
26.425,64.61875,3,cloudy,26,64
26.3625,64.675,1,sunny,26,64
26.3125,64.7375,3,cloudy,26,64
26.2625,64.81875,2,rainy,26,64
26.20625,64.95,2,rainy,26,64
26.1875,64.96875,1,sunny,26,64
26.21875,64.84375,2,rainy,26,64
