weather,weather1,temperature,humidity
2,rainy,28,60
1,sunny,28,60
1,sunny,28,60
2,rainy,28,60
1,sunny,29,59
3,cloudy,29,59
2,rainy,29,59
3,cloudy,29,59
1,sunny,29,59
3,cloudy,29,59
3,cloudy,29,59
1,sunny,29,59
3,cloudy,29,59
2,rainy,29,59
1,sunny,29,59
3,cloudy,29,59
2,rainy,29,58
3,cloudy,29,58
1,sunny,29,58
2,rainy,29,58
1,sunny,29,57
2,rainy,29,57
1,sunny,29,57
3,cloudy,29,56
3,cloudy,29,56
2,rainy,29,55
1,sunny,29,55
2,rainy,29,54
3,cloudy,29,54
1,sunny,29,53
2,rainy,29,53
3,cloudy,29,53
3,cloudy,29,52
3,cloudy,29,52
1,sunny,29,52
2,rainy,29,51
3,cloudy,29,51
2,rainy,29,51
2,rainy,29,50
1,sunny,29,50
1,sunny,29,50
2,rainy,29,50
1,sunny,29,50
3,cloudy,29,50
3,cloudy,29,51
3,cloudy,29,51
2,rainy,29,51
2,rainy,29,51
3,cloudy,29,51
2,rainy,29,51
1,sunny,29,52
1,sunny,29,52
3,cloudy,29,52
3,cloudy,29,52
2,rainy,29,53
2,rainy,29,53
2,rainy,29,53
1,sunny,29,54
2,rainy,29,54
1,sunny,29,54
2,rainy,29,54
3,cloudy,29,54
2,rainy,29,55
1,sunny,29,55
3,cloudy,29,55
2,rainy,28,55
3,cloudy,28,55
3,cloudy,28,55
1,sunny,28,55
1,sunny,28,55
2,rainy,28,55
3,cloudy,28,55
1,sunny,28,55
2,rainy,28,55
1,sunny,28,55
3,cloudy,28,55
2,rainy,28,55
1,sunny,28,55
2,rainy,28,55
2,rainy,28,55
3,cloudy,28,55
2,rainy,28,55
1,sunny,28,55
2,rainy,28,56
2,rainy,28,56
1,sunny,28,55
2,rainy,28,55
2,rainy,28,55
2,rainy,28,55
1,sunny,28,55
2,rainy,28,55
1,sunny,28,55
1,sunny,28,55
3,cloudy,28,55
1,sunny,28,54
3,cloudy,28,54
3,cloudy,28,54
2,rainy,28,54
2,rainy,28,53
1,sunny,28,53
3,cloudy,28,53
3,cloudy,29,53
1,sunny,29,53
3,cloudy,29,53
2,rainy,29,52
3,cloudy,29,52
2,rainy,29,52
1,sunny,29,52
3,cloudy,29,52
3,cloudy,29,52
1,sunny,29,52
2,rainy,29,51
3,cloudy,29,51
3,cloudy,29,51
1,sunny,29,51
3,cloudy,29,51
3,cloudy,29,51
2,rainy,29,51
3,cloudy,29,51
2,rainy,29,51
3,cloudy,29,51
3,cloudy,29,51
1,sunny,29,51
3,cloudy,29,51
1,sunny,29,51
3,cloudy,29,50
3,cloudy,29,50
3,cloudy,29,50
1,sunny,29,49
2,rainy,29,49
1,sunny,29,49
1,sunny,29,49
2,rainy,29,48
1,sunny,29,48
2,rainy,29,48
1,sunny,29,48
3,cloudy,29,47
1,sunny,29,47
3,cloudy,29,47
2,rainy,29,47
3,cloudy,29,47
1,sunny,29,47
1,sunny,29,47
1,sunny,29,47
1,sunny,29,47
1,sunny,29,47
1,sunny,29,47
1,sunny,29,47
3,cloudy,29,47
3,cloudy,29,48
1,sunny,29,48
1,sunny,29,48
3,cloudy,29,48
2,rainy,29,48
1,sunny,29,48
3,cloudy,29,48
3,cloudy,28,49
1,sunny,28,49
1,sunny,28,49
2,rainy,28,49
3,cloudy,28,49
3,cloudy,28,50
1,sunny,28,50
2,rainy,28,50
3,cloudy,28,51
3,cloudy,28,51
2,rainy,28,51
3,cloudy,27,52
1,sunny,27,52
2,rainy,27,52
2,rainy,27,52
1,sunny,27,52
3,cloudy,27,52
2,rainy,27,53
1,sunny,27,53
1,sunny,27,53
3,cloudy,27,53
3,cloudy,27,53
3,cloudy,27,53
2,rainy,27,53
1,sunny,26,53
2,rainy,26,53
1,sunny,26,53
2,rainy,26,53
3,cloudy,26,53
2,rainy,26,53
1,sunny,26,53
1,sunny,26,53
1,sunny,27,53
3,cloudy,27,52
2,rainy,27,52
2,rainy,27,52
2,rainy,27,52
3,cloudy,27,51
3,cloudy,27,51
1,sunny,27,51
3,cloudy,28,51
2,rainy,28,51
3,cloudy,28,51
2,rainy,28,50
1,sunny,28,50
2,rainy,28,50
3,cloudy,28,50
3,cloudy,28,50
3,cloudy,29,50
2,rainy,29,50
1,sunny,29,50
3,cloudy,29,49
2,rainy,29,49
2,rainy,29,49
3,cloudy,29,49
3,cloudy,29,49
2,rainy,29,49
3,cloudy,29,49
1,sunny,29,48
3,cloudy,29,48
1,sunny,29,48
1,sunny,29,48
3,cloudy,29,48
2,rainy,29,48
2,rainy,29,47
3,cloudy,29,47
2,rainy,29,47
2,rainy,29,46
3,cloudy,29,46
1,sunny,29,46
3,cloudy,29,46
3,cloudy,29,46
2,rainy,29,46
1,sunny,29,46
2,rainy,29,46
2,rainy,29,46
1,sunny,29,45
3,cloudy,29,45
1,sunny,29,45
3,cloudy,29,46
3,cloudy,29,46
1,sunny,29,46
1,sunny,29,47
1,sunny,29,47
2,rainy,29,47
1,sunny,29,48
3,cloudy,29,48
1,sunny,29,49
2,rainy,29,49
2,rainy,29,49
3,cloudy,28,49
2,rainy,28,50
3,cloudy,28,50
1,sunny,28,50
1,sunny,28,51
1,sunny,28,51
1,sunny,28,51
1,sunny,28,51
3,cloudy,28,51
2,rainy,28,51
2,rainy,28,51
3,cloudy,28,51
3,cloudy,28,51
2,rainy,28,52
2,rainy,28,52
1,sunny,28,52
3,cloudy,28,52
3,cloudy,28,52
3,cloudy,28,52
1,sunny,28,52
2,rainy,28,52
3,cloudy,28,53
1,sunny,28,53
1,sunny,28,53
1,sunny,28,53
1,sunny,27,53
3,cloudy,27,53
2,rainy,27,53
3,cloudy,27,53
1,sunny,27,53
2,rainy,27,53
3,cloudy,27,53
1,sunny,27,53
1,sunny,27,53
2,rainy,27,53
3,cloudy,27,53
3,cloudy,27,53
3,cloudy,27,52
3,cloudy,27,52
1,sunny,27,52
1,sunny,27,52
3,cloudy,27,52
1,sunny,27,52
1,sunny,27,52
1,sunny,27,52
1,sunny,27,51
3,cloudy,27,51
2,rainy,27,51
1,sunny,27,51
3,cloudy,28,51
2,rainy,28,51
3,cloudy,28,51
2,rainy,28,51
3,cloudy,28,51
3,cloudy,28,51
2,rainy,28,51
3,cloudy,28,51
1,sunny,28,51
3,cloudy,28,50
3,cloudy,29,50
3,cloudy,29,50
3,cloudy,29,50
2,rainy,29,50
1,sunny,29,50
3,cloudy,29,51
2,rainy,29,51
3,cloudy,29,51
1,sunny,29,51
3,cloudy,29,51
1,sunny,29,51
1,sunny,29,51
2,rainy,29,51
1,sunny,29,51
1,sunny,29,51
2,rainy,29,52
1,sunny,29,52
1,sunny,29,53
3,cloudy,29,53
1,sunny,29,54
2,rainy,29,55
3,cloudy,28,56
2,rainy,28,57
3,cloudy,28,58
2,rainy,28,59
2,rainy,28,60
1,sunny,28,60
1,sunny,28,61
1,sunny,27,62
2,rainy,27,63
2,rainy,27,64
3,cloudy,27,64
1,sunny,27,64
2,rainy,27,65
2,rainy,27,65
3,cloudy,27,65
1,sunny,27,66
2,rainy,27,65
2,rainy,27,65
2,rainy,27,65
2,rainy,27,64
2,rainy,27,64
1,sunny,27,64
3,cloudy,27,64
2,rainy,27,64
3,cloudy,27,64
2,rainy,27,64
1,sunny,27,64
3,cloudy,27,64
3,cloudy,26,64
2,rainy,26,64
2,rainy,26,64
2,rainy,26,64
2,rainy,26,64
3,cloudy,26,64
3,cloudy,26,64
3,cloudy,26,64
3,cloudy,26,64
1,sunny,26,64
3,cloudy,26,64
1,sunny,26,64
3,cloudy,26,64
2,rainy,26,64
2,rainy,26,64
1,sunny,26,64
2,rainy,26,64
3,cloudy,26,64
3,cloudy,26,64
3,cloudy,26,64
1,sunny,26,64
2,rainy,26,63
3,cloudy,26,63
1,sunny,26,63
1,sunny,26,62
1,sunny,27,62
3,cloudy,27,62
2,rainy,27,61
1,sunny,27,61
3,cloudy,27,60
2,rainy,27,60
1,sunny,27,59
3,cloudy,27,59
3,cloudy,28,59
3,cloudy,28,59
3,cloudy,28,59
3,cloudy,28,58
3,cloudy,28,58
2,rainy,28,58
1,sunny,28,58
2,rainy,28,58
3,cloudy,28,58
2,rainy,28,58
3,cloudy,28,58
3,cloudy,28,58
2,rainy,28,58
2,rainy,28,58
3,cloudy,28,58
1,sunny,28,58
3,cloudy,28,58
3,cloudy,28,58
1,sunny,28,57
3,cloudy,28,57
2,rainy,28,57
1,sunny,28,57
3,cloudy,28,57
1,sunny,28,57
1,sunny,28,56
3,cloudy,28,56
1,sunny,28,55
1,sunny,28,55
3,cloudy,28,54
3,cloudy,28,54
3,cloudy,28,54
3,cloudy,28,53
1,sunny,28,53
1,sunny,28,53
2,rainy,28,52
1,sunny,28,52
3,cloudy,28,52
2,rainy,27,51
3,cloudy,27,51
1,sunny,27,52
1,sunny,27,52
1,sunny,27,52
3,cloudy,27,53
2,rainy,27,54
2,rainy,27,55
2,rainy,27,55
3,cloudy,27,56
2,rainy,26,57
3,cloudy,26,58
3,cloudy,26,59
3,cloudy,26,60
3,cloudy,26,61
1,sunny,26,62
3,cloudy,26,62
3,cloudy,26,63
2,rainy,26,63
2,rainy,26,64
2,rainy,27,64
1,sunny,27,64
3,cloudy,27,64
1,sunny,27,63
1,sunny,27,63
2,rainy,27,63
2,rainy,27,62
2,rainy,27,62
3,cloudy,27,61
1,sunny,27,60
2,rainy,27,60
1,sunny,27,60
2,rainy,27,59
2,rainy,28,59
3,cloudy,28,59
1,sunny,28,59
2,rainy,28,58
3,cloudy,28,58
3,cloudy,28,58
2,rainy,28,58
1,sunny,28,58
1,sunny,28,58
3,cloudy,28,58
3,cloudy,28,57
3,cloudy,28,57
1,sunny,28,56
3,cloudy,28,56
1,sunny,28,55
3,cloudy,28,55
1,sunny,27,54
1,sunny,27,54
1,sunny,27,53
1,sunny,27,53
1,sunny,27,52
1,sunny,27,52
2,rainy,27,51
2,rainy,27,50
1,sunny,27,50
2,rainy,27,49
1,sunny,27,49
3,cloudy,27,48
2,rainy,27,48
3,cloudy,27,48
2,rainy,27,48
1,sunny,27,48
2,rainy,27,47
2,rainy,27,47
1,sunny,27,47
1,sunny,27,47
1,sunny,27,46
2,rainy,27,46
3,cloudy,27,46
2,rainy,27,46
3,cloudy,27,47
2,rainy,27,47
1,sunny,27,47
1,sunny,26,47
3,cloudy,26,47
2,rainy,26,48
1,sunny,26,48
1,sunny,26,48
1,sunny,26,48
2,rainy,26,48
3,cloudy,26,49
1,sunny,26,49
1,sunny,26,50
3,cloudy,26,50
2,rainy,26,50
1,sunny,26,51
1,sunny,26,51
1,sunny,26,52
2,rainy,26,52
1,sunny,26,53
2,rainy,26,53
1,sunny,26,54
2,rainy,26,54
3,cloudy,26,55
2,rainy,26,55
1,sunny,26,56
2,rainy,25,56
3,cloudy,25,56
2,rainy,25,57
1,sunny,25,57
3,cloudy,25,57
3,cloudy,25,57
1,sunny,25,57
2,rainy,25,58
1,sunny,25,58
2,rainy,25,58
2,rainy,25,58
3,cloudy,25,58
2,rainy,25,58
3,cloudy,25,58
2,rainy,25,58
2,rainy,25,58
1,sunny,25,58
2,rainy,24,59
1,sunny,24,59
3,cloudy,24,59
2,rainy,24,59
3,cloudy,24,59
3,cloudy,24,59
2,rainy,24,59
3,cloudy,24,60
3,cloudy,24,60
1,sunny,24,60
2,rainy,24,60
2,rainy,24,60
1,sunny,24,60
1,sunny,24,61
1,sunny,24,61
3,cloudy,24,61
2,rainy,24,61
3,cloudy,23,61
2,rainy,23,61
3,cloudy,23,62
3,cloudy,23,62
2,rainy,23,62
1,sunny,23,62
1,sunny,23,62
3,cloudy,23,62
1,sunny,23,62
3,cloudy,23,63
3,cloudy,23,63
1,sunny,23,63
1,sunny,23,63
1,sunny,23,63
3,cloudy,23,63
2,rainy,23,63
1,sunny,23,63
1,sunny,23,63
3,cloudy,23,63
2,rainy,23,62
1,sunny,23,62
3,cloudy,23,62
2,rainy,24,61
2,rainy,24,61
1,sunny,24,60
2,rainy,24,60
1,sunny,24,59
3,cloudy,24,59
2,rainy,24,58
1,sunny,24,58
1,sunny,24,58
1,sunny,24,57
3,cloudy,24,57
3,cloudy,24,57
3,cloudy,24,57
1,sunny,24,56
3,cloudy,24,56
2,rainy,24,56
2,rainy,24,56
1,sunny,24,56
2,rainy,24,55
2,rainy,24,55
3,cloudy,24,55
2,rainy,24,55
2,rainy,24,55
3,cloudy,24,54
1,sunny,24,54
2,rainy,25,53
2,rainy,25,53
2,rainy,25,52
3,cloudy,25,52
3,cloudy,25,52
1,sunny,25,52
3,cloudy,24,52
1,sunny,24,53
2,rainy,24,53
1,sunny,24,53
2,rainy,24,53
2,rainy,24,54
3,cloudy,24,54
2,rainy,24,54
2,rainy,24,55
3,cloudy,24,55
1,sunny,24,56
1,sunny,24,56
1,sunny,24,56
2,rainy,24,57
3,cloudy,24,57
1,sunny,24,57
2,rainy,25,57
2,rainy,25,57
1,sunny,25,57
2,rainy,25,57
2,rainy,25,57
1,sunny,25,57
2,rainy,25,58
3,cloudy,25,58
2,rainy,25,58
3,cloudy,25,58
1,sunny,25,58
1,sunny,25,58
1,sunny,25,58
3,cloudy,25,58
2,rainy,25,58
1,sunny,25,58
1,sunny,25,58
2,rainy,25,58
1,sunny,25,58
1,sunny,25,58
3,cloudy,25,58
1,sunny,25,57
1,sunny,25,57
1,sunny,25,56
1,sunny,25,56
3,cloudy,25,55
1,sunny,25,55
2,rainy,25,54
1,sunny,25,54
1,sunny,25,53
1,sunny,25,53
1,sunny,25,53
1,sunny,25,52
3,cloudy,25,52
2,rainy,25,52
2,rainy,25,52
1,sunny,25,51
2,rainy,25,51
3,cloudy,25,52
1,sunny,25,52
3,cloudy,25,52
3,cloudy,25,52
2,rainy,25,52
1,sunny,25,53
2,rainy,25,53
2,rainy,25,53
2,rainy,25,53
1,sunny,25,54
3,cloudy,25,54
2,rainy,25,54
1,sunny,25,54
3,cloudy,25,54
3,cloudy,25,54
2,rainy,25,54
2,rainy,25,54
2,rainy,25,53
1,sunny,25,53
2,rainy,25,53
3,cloudy,25,53
1,sunny,25,53
3,cloudy,25,53
1,sunny,25,53
2,rainy,25,53
3,cloudy,25,52
2,rainy,25,52
1,sunny,25,52
1,sunny,25,52
3,cloudy,25,52
2,rainy,25,52
2,rainy,25,52
3,cloudy,25,51
2,rainy,25,51
2,rainy,25,51
2,rainy,25,51
1,sunny,25,50
2,rainy,24,50
2,rainy,24,50
3,cloudy,24,50
1,sunny,24,50
3,cloudy,24,50
1,sunny,24,50
2,rainy,24,50
1,sunny,23,50
3,cloudy,23,51
2,rainy,23,51
1,sunny,23,51
2,rainy,23,51
1,sunny,23,52
2,rainy,23,52
1,sunny,23,52
1,sunny,23,52
2,rainy,23,52
3,cloudy,23,52
2,rainy,23,52
3,cloudy,23,52
3,cloudy,23,52
2,rainy,23,52
2,rainy,23,53
2,rainy,23,53
1,sunny,23,52
1,sunny,23,52
1,sunny,23,52
3,cloudy,24,52
3,cloudy,24,52
3,cloudy,24,52
1,sunny,24,52
2,rainy,24,52
1,sunny,24,52
2,rainy,24,52
1,sunny,24,52
3,cloudy,24,52
1,sunny,24,51
1,sunny,24,51
3,cloudy,24,51
3,cloudy,24,50
2,rainy,23,50
1,sunny,23,50
2,rainy,23,50
1,sunny,23,50
3,cloudy,23,50
3,cloudy,23,50
2,rainy,23,50
2,rainy,23,50
3,cloudy,23,50
2,rainy,23,51
3,cloudy,23,51
1,sunny,23,51
1,sunny,23,51
2,rainy,23,51
1,sunny,23,51
2,rainy,23,52
3,cloudy,23,52
3,cloudy,23,52
2,rainy,23,52
2,rainy,23,52
2,rainy,23,52
2,rainy,23,52
1,sunny,24,53
1,sunny,24,53
1,sunny,24,53
3,cloudy,24,53
3,cloudy,24,53
2,rainy,24,53
2,rainy,24,53
3,cloudy,24,52
1,sunny,24,52
2,rainy,24,52
1,sunny,24,52
3,cloudy,24,52
3,cloudy,24,52
1,sunny,24,52
2,rainy,24,52
1,sunny,24,52
2,rainy,24,51
3,cloudy,24,51
1,sunny,24,51
2,rainy,24,51
3,cloudy,24,51
1,sunny,24,51
1,sunny,24,51
2,rainy,24,51
3,cloudy,24,51
2,rainy,24,51
3,cloudy,24,51
1,sunny,24,50
2,rainy,24,50
3,cloudy,24,50
2,rainy,24,50
3,cloudy,24,50
3,cloudy,24,50
1,sunny,24,49
1,sunny,24,49
1,sunny,24,49
2,rainy,24,49
1,sunny,24,49
2,rainy,24,49
2,rainy,24,49
3,cloudy,24,49
2,rainy,24,49
2,rainy,24,50
3,cloudy,24,50
2,rainy,24,50
2,rainy,23,50
3,cloudy,23,51
3,cloudy,23,51
3,cloudy,23,51
2,rainy,23,52
2,rainy,23,52
2,rainy,23,52
1,sunny,24,53
3,cloudy,24,53
3,cloudy,24,53
1,sunny,23,53
3,cloudy,23,53
2,rainy,23,53
3,cloudy,23,54
1,sunny,23,54
3,cloudy,23,54
3,cloudy,23,54
1,sunny,23,54
3,cloudy,23,54
1,sunny,23,54
3,cloudy,23,53
1,sunny,23,53
2,rainy,23,53
1,sunny,23,53
1,sunny,23,53
2,rainy,23,53
3,cloudy,23,53
1,sunny,23,53
2,rainy,23,53
2,rainy,23,53
1,sunny,23,53
2,rainy,23,53
1,sunny,23,53
2,rainy,23,53
1,sunny,23,53
2,rainy,23,53
3,cloudy,23,53
3,cloudy,23,53
1,sunny,23,53
2,rainy,23,53
1,sunny,23,53
3,cloudy,23,54
1,sunny,23,54
2,rainy,23,54
3,cloudy,23,54
3,cloudy,23,55
1,sunny,23,55
2,rainy,23,55
3,cloudy,23,55
3,cloudy,23,55
1,sunny,23,56
3,cloudy,23,56
3,cloudy,23,56
2,rainy,23,56
2,rainy,23,56
2,rainy,23,56
3,cloudy,23,56
3,cloudy,23,56
2,rainy,23,56
3,cloudy,23,56
1,sunny,23,56
2,rainy,23,55
3,cloudy,23,55
2,rainy,23,55
2,rainy,23,55
3,cloudy,23,54
1,sunny,23,54
2,rainy,23,54
1,sunny,23,53
2,rainy,23,53
1,sunny,23,53
1,sunny,23,53
3,cloudy,23,53
3,cloudy,23,53
2,rainy,23,52
2,rainy,23,52
1,sunny,23,52
1,sunny,23,52
1,sunny,23,52
2,rainy,23,52
2,rainy,23,51
1,sunny,23,51
3,cloudy,23,51
2,rainy,23,51
1,sunny,23,50
1,sunny,23,49
2,rainy,23,49
3,cloudy,23,48
2,rainy,23,48
2,rainy,23,48
2,rainy,23,47
3,cloudy,23,47
1,sunny,23,47
2,rainy,23,47
3,cloudy,23,48
2,rainy,23,48
3,cloudy,23,49
2,rainy,23,50
2,rainy,23,50
1,sunny,22,51
3,cloudy,22,51
1,sunny,22,52
2,rainy,22,53
2,rainy,22,54
1,sunny,22,54
1,sunny,22,55
1,sunny,22,56
1,sunny,23,56
1,sunny,23,56
1,sunny,23,57
3,cloudy,23,57
1,sunny,23,56
2,rainy,23,56
2,rainy,23,56
1,sunny,23,56
1,sunny,23,56
1,sunny,23,56
2,rainy,23,56
1,sunny,23,56
3,cloudy,23,56
2,rainy,23,56
2,rainy,23,56
1,sunny,23,56
2,rainy,23,56
1,sunny,23,56
3,cloudy,23,56
2,rainy,23,56
1,sunny,23,56
2,rainy,23,56
2,rainy,23,56
1,sunny,23,56
2,rainy,23,56
3,cloudy,23,56
2,rainy,23,56
3,cloudy,23,56
2,rainy,23,56
3,cloudy,22,56
3,cloudy,22,56
3,cloudy,22,56
1,sunny,22,56
3,cloudy,22,56
3,cloudy,23,56
3,cloudy,23,56
3,cloudy,23,56
3,cloudy,23,56
1,sunny,23,56
3,cloudy,23,56
3,cloudy,23,56
3,cloudy,23,56
1,sunny,23,56
2,rainy,23,55
2,rainy,23,55
1,sunny,23,55
3,cloudy,23,55
3,cloudy,23,54
2,rainy,23,54
2,rainy,23,54
2,rainy,23,53
2,rainy,23,53
2,rainy,23,52
1,sunny,23,52
2,rainy,23,51
3,cloudy,23,51
3,cloudy,23,51
1,sunny,23,50
1,sunny,23,50
2,rainy,23,50
3,cloudy,23,49
2,rainy,23,49
1,sunny,23,49
3,cloudy,23,49
3,cloudy,23,49
3,cloudy,23,48
2,rainy,23,48
2,rainy,23,48
2,rainy,23,48
3,cloudy,23,48
1,sunny,23,48
1,sunny,23,48
1,sunny,23,48
3,cloudy,23,48
1,sunny,23,48
1,sunny,23,48
3,cloudy,23,48
2,rainy,23,48
1,sunny,23,49
2,rainy,23,49
1,sunny,23,49
2,rainy,23,49
2,rainy,23,50
1,sunny,23,50
2,rainy,23,51
3,cloudy,23,51
1,sunny,23,51
3,cloudy,23,52
3,cloudy,23,52
1,sunny,23,53
1,sunny,23,53
2,rainy,23,53
2,rainy,23,54
3,cloudy,23,55
1,sunny,23,55
2,rainy,23,56
1,sunny,23,57
3,cloudy,22,58
1,sunny,22,58
1,sunny,22,59
3,cloudy,22,60
2,rainy,22,60
3,cloudy,22,61
2,rainy,21,61
