Humidity,Temperature,Weather
17.94444444,0.77,9.34
15.49444444,0.82,9.72
14.14444444,0.89,10.97
14.53888889,0.86,8.41
14.13888889,0.86,9.15
13.4,0.9,7.54
13.42777778,0.9,1.32
11.58888889,0.74,7.65
14.42222222,0.83,4.71
13.91666667,0.86,6.74
13.4,0.9,5.25
13.86666667,0.9,4.65
14.90555556,0.84,1.94
15.93333333,0.74,2.08
17.12777778,0.65,5.21
18.75,0.58,1.88
18.96111111,0.6,11.48
19.99444444,0.54,10.65
21.11111111,0.5,11.07
21.09444444,0.46,7.1
21.17777778,0.43,11.07
21.22777778,0.41,4.11
20.1,0.45,7.52
19.02777778,0.51,8.7
17.85,0.59,7.84
16.26111111,0.66,5.28
14.98333333,0.72,3.02
14.46666667,0.65,5.17
13.94444444,0.6,1.4
12.31666667,0.65,3.48
11.76111111,0.66,3.65
10.82777778,0.62,31.11
10.13888889,0.73,6.57
10.62777778,0.71,7.24
10.60555556,0.69,2.61
10.07222222,0.71,9.2
11.16111111,0.71,1.67
12.88888889,0.67,4.08
15.05,0.6,7.14
15.16111111,0.59,7.87
16.27222222,0.56,2.61
17.8,0.46,7.87
17.93888889,0.46,8.44
18.85555556,0.41,7.14
17.98888889,0.43,5.07
17.96111111,0.51,5.41
17.36111111,0.47,9.17
16.25,0.52,6.12
14.12222222,0.47,6.38
12.95,0.55,3.71
12.24444444,0.52,4.97
11.68888889,0.57,9.6
11.15555556,0.59,4.98
9.216666667,0.9,7.02
8.683333333,0.9,10.47
9.188888889,0.77,10.82
8.594444444,0.93,4
7.505555556,0.93,7.15
6.216666667,0.95,7.94
5.855555556,0.93,5.6
5.933333333,1,8.08
10.40555556,1,8.05
12.54444444,0.78,5.31
13.86111111,0.77,6.97
15.97777778,0.63,10.01
17.26666667,0.57,10.87
17.84444444,0.5,8.5
16.42777778,0.54,8.75
17.77777778,0.46,5.88
17.84444444,0.45,2.02
17.3,0.5,2.27
15.18333333,0.65,2.35
13.00555556,0.7,2.11
12.69444444,0.74,4.9
12.19444444,0.72,2.47
12.08333333,0.71,1
10.61666667,0.74,4.77
11.6,0.57,9.12
11.02222222,0.6,3.91
11.88888889,0.6,6.92
10.41666667,0.64,5.15
10.3,0.67,4.54
9.483333333,0.72,3.98
9.772222222,0.68,2.77
10.93333333,0.67,6.75
11.65555556,0.66,7.34
13.93888889,0.55,9.28
15.02777778,0.54,6.35
16.03888889,0.47,6.34
15.22777778,0.51,9.91
16.20555556,0.44,9.48
17.3,0.43,7
17.77777778,0.43,6.81
17.8,0.38,9.35
17.26111111,0.39,3.52
17.2,0.38,4.82
15.02222222,0.45,5.98
13.92777778,0.47,5.44
12.36666667,0.57,5
12.29444444,0.59,7.35
12.78888889,0.56,5.84
9.533333333,0.76,1.45
9.972222222,0.71,7.08
4.911111111,0.91,10.62
7.916666667,0.78,5.1
7.383333333,0.82,2.2
7.972222222,0.82,8.84
8.816666667,0.84,6.04
8.794444444,0.84,6.71
7.888888889,0.89,6.65
7.8,0.96,7.11
7.822222222,0.95,9.04
7.944444444,0.95,7.37
8.077777778,0.94,7.87
10.22777778,0.81,4.8
11.36111111,0.74,8.15
12.45,0.7,7.34
12.91666667,0.67,10.08
12.55,0.62,6.64
12.38333333,0.69,8.08
10.22777778,0.75,8.64
9.227777778,0.78,6.71
7.827777778,0.87,4.42
6.677777778,0.91,6.75
6.122222222,0.91,5.95
5.327777778,0.95,9.68
4.355555556,0.95,2.1
9.272222222,0.89,4.11
4.261111111,0.92,5.81
3.216666667,0.92,3.3
3.905555556,0.92,11.3
2.711111111,0.96,7.08
3.816666667,1,4.11
6.883333333,0.93,7.78
8.938888889,0.88,6.91
11.20555556,0.79,3.01
12.85,0.7,2.58
13.96111111,0.63,0.92
14.97777778,0.51,4.31
14.02777778,0.57,3.92
15.02222222,0.51,4.82
15.04444444,0.54,1.44
15.08888889,0.5,7.3
14.95,0.51,3.77
13.81666667,0.59,3.06
12.91666667,0.64,4.12
13.83888889,0.59,7.77
12.75555556,0.69,8.21
12.65,0.74,7.25
11.68888889,0.8,8.01
10.62777778,0.88,9.98
5.666666667,0.91,4.95
10.05,0.92,0.7
9.977777778,0.93,5.52
9.777777778,0.95,2.97
8.661111111,0.99,3.94
7.55,0.95,4.57
7.233333333,0.93,4.37
6.044444444,0.92,3.92
6.094444444,0.85,3.78
6.116666667,0.82,8.68
6.066666667,0.86,20.24
6.038888889,0.93,4.45
6.888888889,0.93,13.8
7.061111111,0.86,1.84
6.038888889,0.93,9.87
6.072222222,0.93,1.84
5.044444444,0.93,1
5.022222222,0.92,2.5
5.033333333,0.93,8.08
5,0.93,3.87
4.977777778,0.93,8.41
4.933333333,0.87,10.3
4.466666667,0.92,8.61
4.444444444,0.92,11.8
4.011111111,0.83,12.82
4.905555556,0.86,1.24
4.883333333,0.83,9.64
4.388888889,0.89,0.41
4.838888889,0.86,3.81
4.811111111,0.83,3.61
4.944444444,0.84,0
7.2,0.65,10.63
7.777777778,0.67,12.07
8.727777778,0.64,6.3
8.983333333,0.57,16.75
10,0.5,3.24
10.09444444,0.55,5.85
11.06111111,0.46,15.85
10.13888889,0.42,2.44
11.01111111,0.42,4.02
10.11666667,0.49,2.62
7.916666667,0.57,1.67
7.333333333,0.63,1.95
5.05,0.75,1.84
3.933333333,0.76,4.67
4.094444444,0.77,7.31
3.8,0.82,0
2.688888889,0.85,1.52
5.066666667,0.81,3.05
2.6,0.85,2.4
1.583333333,0.92,4.11
2.155555556,0.9,0
0.955555556,0.92,2.27
0.955555556,0.92,4.65
5.594444444,0.82,2.27
9.822222222,0.66,2.31
11.07222222,0.54,7.35
11.05555556,0.48,4.5
12.24444444,0.43,4.94
12.85,0.41,6.24
12.88888889,0.38,2.18
12.91666667,0.4,5.37
13.88888889,0.46,11.37
13.02222222,0.48,1.54
12.38333333,0.49,1.5
10.20555556,0.57,5.32
9.144444444,0.62,1.72
7.827777778,0.68,3.48
7.733333333,0.65,1.78
7.144444444,0.69,6.7
6.016666667,0.74,2.45
5.461111111,0.76,3.47
8.244444444,0.72,8.78
3.838888889,0.82,7.04
2.244444444,0.91,7.75
2.022222222,0.93,7.75
2.172222222,0.92,4.51
3.661111111,0.89,7.05
6.111111111,0.79,3.34
10.00555556,0.66,4.31
12.24444444,0.52,9.78
12.93888889,0.5,5.85
13.98333333,0.5,6.45
15.09444444,0.44,4.84
16.25,0.43,3.68
17.26666667,0.41,6.1
17.28888889,0.38,6.1
17.38888889,0.37,7.77
17.28888889,0.38,3.54
15.08888889,0.44,4.77
11.71111111,0.58,6.9
11.16111111,0.61,4.91
10.02777778,0.68,4.85
10.13888889,0.65,5.1
21.01666667,0.87,2.62
19.44444444,0.9,1.54
20.72222222,0.81,3.07
18.79444444,0.93,2.6
17.73333333,0.93,4.65
17.60555556,0.95,6.02
18.73333333,0.93,5.28
22.55555556,0.8,6.27
24.76111111,0.7,11.2
27.17222222,0.56,11.21
28.91111111,0.55,9.38
30.95555556,0.42,11.27
32.17222222,0.38,9.47
32.12777778,0.32,11.17
31.98333333,0.35,7.32
32.53888889,0.38,12.71
31.97777778,0.4,11.1
32.01111111,0.41,11.74
30.94444444,0.39,12.57
28.57222222,0.5,10.51
27.09444444,0.59,11.17
24.69444444,0.65,7.7
24.13888889,0.7,9.1
23.12222222,0.77,7.45
15.56111111,0.92,6.07
15.49444444,0.87,9.48
16.53888889,0.91,4.01
13.8,0.9,6.17
13.31666667,0.9,6.2
12.60555556,0.92,9.3
12.32777778,0.93,3.6
14.96666667,0.87,9.88
16.26111111,0.87,9.22
16.25,0.92,6.31
18.88888889,0.89,3.87
21.35,0.76,3.52
21.20555556,0.76,6.21
22.33888889,0.72,4.24
23.03333333,0.66,2.48
23.91111111,0.62,5.27
24.97777778,0.51,6.17
23.8,0.58,7.44
23.59444444,0.53,6.44
22.50555556,0.68,6.84
20.01666667,0.78,10.74
19.91111111,0.74,10.58
19.35555556,0.76,9.22
17.88333333,0.85,6.11
17.25,0.89,11.27
16.62777778,0.92,10.68
15.84444444,0.84,9.8
17,0.92,7.62
17.06666667,0.86,10.92
16.50555556,0.79,0
14.98333333,0.83,9.25
16.02222222,0.81,4.85
16.16111111,0.81,9.84
18.84444444,0.68,5.2
21.11666667,0.68,8.41
22.50555556,0.62,11.48
23.79444444,0.54,7.98
23.88888889,0.51,5.97
25.83333333,0.44,3.5
25.92777778,0.43,3.67
25,0.42,3.25
24.94444444,0.43,4.22
24.92777778,0.45,3.55
22.8,0.51,5.01
19.33888889,0.7,7.55
17.80555556,0.78,9.5
17.78333333,0.75,8.87
16.48888889,0.79,10.21
15.69444444,0.83,9.04
15.62777778,0.81,8.68
16.21111111,0.93,9.24
15.57777778,0.84,12.5
15.57777778,0.81,1.27
15.60555556,0.81,12.58
15.05,0.83,11.6
17.06666667,0.73,5.87
17.48333333,0.72,10.37
17.66666667,0.71,9.31
18.8,0.69,3.1
19.68333333,0.67,3.08
18.82222222,0.78,6.2
20,0.77,0.77
21.15,0.72,8.32
23.65555556,0.67,7.34
23.61666667,0.6,9.01
23.81666667,0.62,7.05
22.03888889,0.7,8.28
19.95,0.7,9.05
18.92222222,0.8,11.85
17.26666667,0.88,8.32
16.17777778,0.9,8.45
15.83333333,0.93,3.54
16.73333333,0.93,1.44
16.71111111,0.97,3.42
16.26666667,0.97,4.6
16.13888889,0.97,5.87
16.08888889,0.97,5.57
15.55555556,0.96,43.85
14.51666667,1,8.05
17.08888889,0.99,9.38
17.66666667,0.96,6.34
19.79444444,0.85,4.98
22.01666667,0.74,4.51
21.13888889,0.73,6.57
21.04444444,0.73,7.28
18.93888889,0.89,10.52
18.91666667,0.9,4.47
20.05,0.78,9.08
21.06666667,0.73,10.01
20.05,0.78,10.5
20,0.83,10.32
18.86666667,0.9,6.58
17.95555556,0.96,8.34
17.71111111,0.97,4.27
17.73333333,0.93,5.6
16.79444444,0.97,2.88
16.66666667,0.97,3.85
16.16111111,0.97,5.88
17.01111111,0.91,6.18
16.11666667,0.97,9.95
16.11666667,0.97,6.81
15.55555556,0.96,7.31
14.00555556,1,5.81
16.11666667,0.93,11.85
16.05,0.93,13.27
16.21111111,0.99,9.61
17.80555556,0.89,12.37
18.88333333,0.84,11.87
20.18888889,0.77,11.81
22.26666667,0.67,10.61
22.35555556,0.7,3.9
23.86666667,0.54,6.74
23.88888889,0.58,3.47
22.95555556,0.56,7
22.47777778,0.58,6.82
20.85555556,0.7,1.78
19.16111111,0.82,5.82
17.73333333,0.84,2.91
18.23888889,0.81,3.1
17.81666667,0.88,10.4
17.71111111,0.84,5.97
17.2,0.9,4.98
15.30555556,0.9,6.05
16.55,0.93,12.41
16.09444444,0.96,6.42
15.55,0.93,8.68
14.93333333,0.93,8.61
17.08888889,0.93,5.02
18.65555556,0.85,5.91
19.81111111,0.79,4.28
21.06111111,0.73,7.8
22.20555556,0.63,6
22.75,0.57,5.04
23.79444444,0.54,4.88
23.48333333,0.51,5.17
23.96111111,0.53,7.18
24.95,0.5,7.28
23.95555556,0.53,7.71
23.95555556,0.5,6.98
23.86111111,0.54,6.31
19.26666667,0.75,5.47
17.28888889,0.87,3.3
16.62222222,0.93,7.61
16.67222222,0.87,4.94
15.07222222,0.93,5.48
14.51666667,0.93,5.65
17.84444444,0.8,5.78
14.44444444,0.93,1.32
13.88888889,0.96,6.12
14.43333333,0.9,3.88
14.92777778,0.87,3.55
17.04444444,0.82,1.52
18.78888889,0.78,4.55
21.16111111,0.73,5.07
23.86666667,0.62,3.61
24.96666667,0.56,3.78
26.13333333,0.47,5.81
27.22222222,0.44,3.47
27.73888889,0.39,5.41
27.77777778,0.4,7.51
27.8,0.39,5.07
27.87222222,0.37,5.45
26.15555556,0.43,6.54
23.97777778,0.54,6.61
22.57222222,0.58,3.57
21.13888889,0.6,5.74
20.43888889,0.67,6.05
20.42777778,0.7,6.61
19.35555556,0.74,3.6
18.75,0.76,4.17
19.87777778,0.85,5.64
17.22222222,0.84,6.84
16.64444444,0.87,3.11
16.55,0.88,8.55
16.09444444,0.87,6.12
17.66666667,0.84,3.8
20.78333333,0.7,6.84
22.73333333,0.67,7.11
26.01666667,0.55,8.55
26.12777778,0.58,6.98
28.83888889,0.51,6.21
29.00555556,0.51,2.87
31.03333333,0.45,4.7
31.13333333,0.36,3.62
31.13333333,0.41,5.54
31.21111111,0.41,6.77
30.02222222,0.48,4.6
27.87222222,0.58,1.72
25.40555556,0.66,8.2
22.75555556,0.79,6.02
22.68888889,0.79,5.71
21.2,0.84,6.24
21.55,0.81,10.78
21.43888889,0.82,8.84
19.50555556,0.92,6.34
19.86111111,0.88,9.31
19.33333333,0.87,16.27
18.75,0.91,12.52
18.84444444,0.9,1.22
19.91111111,0.87,18.21
22.10555556,0.81,5.85
24.95,0.69,6.01
25,0.74,6.44
27.3,0.67,6.6
27.96666667,0.62,4.62
30.11666667,0.5,3.64
31.04444444,0.45,12.18
31.20555556,0.47,19.64
32.17222222,0.42,5.27
32.54444444,0.4,4.81
31.03888889,0.44,4.77
28.95555556,0.54,10.57
26.47777778,0.64,6.34
22.91666667,0.73,0.57
23.38333333,0.73,3.67
22.45,0.83,11.24
22.6,0.77,7.6
19.98333333,0.9,9.8
20.95555556,0.87,13.33
18.87222222,0.9,11.1
18.33888889,0.93,13.55
18.85,0.93,5.92
17.27777778,0.99,2.44
19.91666667,0.87,7.08
23.6,0.74,0.48
25.99444444,0.61,5.52
27.73333333,0.55,3.57
28.79444444,0.5,0
29.88333333,0.47,12.17
30.97222222,0.45,12.14
31.91666667,0.41,11.22
32.12777778,0.42,13.24
32.12777778,0.39,7.8
31.08333333,0.44,9.07
31.01666667,0.44,12.58
27.26666667,0.64,7.81
25.45555556,0.68,3.18
22.8,0.84,4.24
23.21666667,0.79,1.84
22.23888889,0.85,3.54
20.41666667,0.84,3.48
19.88333333,0.85,6.25
16.81111111,0.92,6.4
19.37777778,0.9,0
18.86666667,0.93,2.35
18.88333333,0.93,2.6
17.87222222,0.97,3.81
18.93888889,0.99,3.75
20.08888889,0.92,0
21.08888889,0.87,3.72
22.17777778,0.81,3.75
23.53333333,0.71,1.72
23.84444444,0.69,3.11
24.95555556,0.62,10.51
25.92222222,0.58,7.9
24.96111111,0.62,5.17
24.79444444,0.58,6.72
23.75555556,0.62,3.21
22.12777778,0.68,5.95
21.06111111,0.68,9.14
21.06666667,0.68,2.08
18.86666667,0.84,3.62
18.26666667,0.84,7.48
17.87777778,0.86,1.92
21.08888889,0.9,5.7
21.55,0.87,2.58
18.78333333,0.85,3.88
19.97777778,0.93,2.8
20.99444444,0.88,4.58
19.98888889,0.88,13.46
18.86666667,0.97,12.91
22.08888889,0.82,14.62
23.77222222,0.75,14.62
27.17777778,0.6,6.2
28.79444444,0.55,9.75
30.86111111,0.55,5.21
32.03888889,0.46,6.37
32.58888889,0.5,11.98
32.63888889,0.44,7.57
